target,target_variable,channel,liquidity_growth,target_growth,target_lead_quarters,correlation
hh_loans,ln_hh_loans_ea_stock,credit,quarterly_log_diff,quarterly_log_diff,0,0.1812697855641193
hh_loans,ln_hh_loans_ea_stock,credit,quarterly_log_diff,four_quarter_log_diff,0,0.15306309474986513
hh_loans,ln_hh_loans_ea_stock,credit,quarterly_log_diff,quarterly_log_diff,1,-0.012032882532058968
hh_loans,ln_hh_loans_ea_stock,credit,quarterly_log_diff,four_quarter_log_diff,1,0.1305564640050195
hh_loans,ln_hh_loans_ea_stock,credit,quarterly_log_diff,quarterly_log_diff,2,0.22049411506815236
hh_loans,ln_hh_loans_ea_stock,credit,quarterly_log_diff,four_quarter_log_diff,2,0.11689355557563505
hh_loans,ln_hh_loans_ea_stock,credit,quarterly_log_diff,quarterly_log_diff,3,-0.022373604895543756
hh_loans,ln_hh_loans_ea_stock,credit,quarterly_log_diff,four_quarter_log_diff,3,0.10538948933456097
hh_loans,ln_hh_loans_ea_stock,credit,quarterly_log_diff,quarterly_log_diff,4,0.20972838698909388
hh_loans,ln_hh_loans_ea_stock,credit,quarterly_log_diff,four_quarter_log_diff,4,0.10754179838059699
nfc_loans,ln_nfc_loans_ea_stock,credit,quarterly_log_diff,quarterly_log_diff,0,0.2321583747831458
nfc_loans,ln_nfc_loans_ea_stock,credit,quarterly_log_diff,four_quarter_log_diff,0,0.22462209392795687
nfc_loans,ln_nfc_loans_ea_stock,credit,quarterly_log_diff,quarterly_log_diff,1,0.12688140971223952
nfc_loans,ln_nfc_loans_ea_stock,credit,quarterly_log_diff,four_quarter_log_diff,1,0.21896135228430652
nfc_loans,ln_nfc_loans_ea_stock,credit,quarterly_log_diff,quarterly_log_diff,2,0.03904867537526131
nfc_loans,ln_nfc_loans_ea_stock,credit,quarterly_log_diff,four_quarter_log_diff,2,0.1785965639370525
nfc_loans,ln_nfc_loans_ea_stock,credit,quarterly_log_diff,quarterly_log_diff,3,0.03336263846072763
nfc_loans,ln_nfc_loans_ea_stock,credit,quarterly_log_diff,four_quarter_log_diff,3,0.12883263870197167
nfc_loans,ln_nfc_loans_ea_stock,credit,quarterly_log_diff,quarterly_log_diff,4,-0.005720532711125561
nfc_loans,ln_nfc_loans_ea_stock,credit,quarterly_log_diff,four_quarter_log_diff,4,0.058390079480162144
real_house_prices,ln_house_price_de_real,asset,quarterly_log_diff,quarterly_log_diff,0,0.08708835528760403
real_house_prices,ln_house_price_de_real,asset,quarterly_log_diff,four_quarter_log_diff,0,0.122294788550184
real_house_prices,ln_house_price_de_real,asset,quarterly_log_diff,quarterly_log_diff,1,0.1573398863626249
real_house_prices,ln_house_price_de_real,asset,quarterly_log_diff,four_quarter_log_diff,1,0.17181922762468235
real_house_prices,ln_house_price_de_real,asset,quarterly_log_diff,quarterly_log_diff,2,0.15532496032718332
real_house_prices,ln_house_price_de_real,asset,quarterly_log_diff,four_quarter_log_diff,2,0.1648766625684188
real_house_prices,ln_house_price_de_real,asset,quarterly_log_diff,quarterly_log_diff,3,-0.06454028327559959
real_house_prices,ln_house_price_de_real,asset,quarterly_log_diff,four_quarter_log_diff,3,0.1207483565985361
real_house_prices,ln_house_price_de_real,asset,quarterly_log_diff,quarterly_log_diff,4,0.06008645105523143
real_house_prices,ln_house_price_de_real,asset,quarterly_log_diff,four_quarter_log_diff,4,0.1205095789643706
real_dax,ln_dax_real_de,asset,quarterly_log_diff,quarterly_log_diff,0,-0.04303163842766892
real_dax,ln_dax_real_de,asset,quarterly_log_diff,four_quarter_log_diff,0,-0.19444514552545164
real_dax,ln_dax_real_de,asset,quarterly_log_diff,quarterly_log_diff,1,-0.15620633535482933
real_dax,ln_dax_real_de,asset,quarterly_log_diff,four_quarter_log_diff,1,-0.23167791056575973
real_dax,ln_dax_real_de,asset,quarterly_log_diff,quarterly_log_diff,2,0.11500861462251596
real_dax,ln_dax_real_de,asset,quarterly_log_diff,four_quarter_log_diff,2,-0.18990790095345456
real_dax,ln_dax_real_de,asset,quarterly_log_diff,quarterly_log_diff,3,0.04498383395981873
real_dax,ln_dax_real_de,asset,quarterly_log_diff,four_quarter_log_diff,3,-0.029903491712665334
real_dax,ln_dax_real_de,asset,quarterly_log_diff,quarterly_log_diff,4,0.049324994853315436
real_dax,ln_dax_real_de,asset,quarterly_log_diff,four_quarter_log_diff,4,0.031042167613340256
real_compensation,ln_compensation_ea20_real,income,quarterly_log_diff,quarterly_log_diff,0,-0.23355405281727767
real_compensation,ln_compensation_ea20_real,income,quarterly_log_diff,four_quarter_log_diff,0,-0.14052343343970294
real_compensation,ln_compensation_ea20_real,income,quarterly_log_diff,quarterly_log_diff,1,0.2411266564593957
real_compensation,ln_compensation_ea20_real,income,quarterly_log_diff,four_quarter_log_diff,1,-0.029496882935071946
real_compensation,ln_compensation_ea20_real,income,quarterly_log_diff,quarterly_log_diff,2,-0.10095708796675172
real_compensation,ln_compensation_ea20_real,income,quarterly_log_diff,four_quarter_log_diff,2,-0.004535759981418872
real_compensation,ln_compensation_ea20_real,income,quarterly_log_diff,quarterly_log_diff,3,0.09811210373430339
real_compensation,ln_compensation_ea20_real,income,quarterly_log_diff,four_quarter_log_diff,3,-0.013649989027782127
real_compensation,ln_compensation_ea20_real,income,quarterly_log_diff,quarterly_log_diff,4,-0.16203622079899738
real_compensation,ln_compensation_ea20_real,income,quarterly_log_diff,four_quarter_log_diff,4,0.08472520443753521
