KEY,FREQ,REF_AREA,CES_BREAKDOWN,CES_CUSTOM,CES_VARIABLE,CES_ANSWER,CES_DENOM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,COMPILATION,DECIMALS,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
CES.M.Z18.ALL.T.C4031.NUM_VAR.WM,M,Z18,ALL,T,C4031,NUM_VAR,WM,2022-04,8.9,A,F,,,P1M,,U,,,,1,"Expected unemployment rate in the next 12 months (%), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Expected unemployment rate in the next 12 months (%) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C4031.NUM_VAR.WM,M,Z18,ALL,T,C4031,NUM_VAR,WM,2022-05,8.6,A,F,,,P1M,,U,,,,1,"Expected unemployment rate in the next 12 months (%), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Expected unemployment rate in the next 12 months (%) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C4031.NUM_VAR.WM,M,Z18,ALL,T,C4031,NUM_VAR,WM,2022-06,8.9,A,F,,,P1M,,U,,,,1,"Expected unemployment rate in the next 12 months (%), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Expected unemployment rate in the next 12 months (%) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C4031.NUM_VAR.WM,M,Z18,ALL,T,C4031,NUM_VAR,WM,2022-07,9,A,F,,,P1M,,U,,,,1,"Expected unemployment rate in the next 12 months (%), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Expected unemployment rate in the next 12 months (%) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C4031.NUM_VAR.WM,M,Z18,ALL,T,C4031,NUM_VAR,WM,2022-08,9,A,F,,,P1M,,U,,,,1,"Expected unemployment rate in the next 12 months (%), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Expected unemployment rate in the next 12 months (%) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C4031.NUM_VAR.WM,M,Z18,ALL,T,C4031,NUM_VAR,WM,2022-09,9,A,F,,,P1M,,U,,,,1,"Expected unemployment rate in the next 12 months (%), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Expected unemployment rate in the next 12 months (%) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C4031.NUM_VAR.WM,M,Z18,ALL,T,C4031,NUM_VAR,WM,2022-10,9.4,A,F,,,P1M,,U,,,,1,"Expected unemployment rate in the next 12 months (%), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Expected unemployment rate in the next 12 months (%) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C4031.NUM_VAR.WM,M,Z18,ALL,T,C4031,NUM_VAR,WM,2022-11,9.1,A,F,,,P1M,,U,,,,1,"Expected unemployment rate in the next 12 months (%), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Expected unemployment rate in the next 12 months (%) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C4031.NUM_VAR.WM,M,Z18,ALL,T,C4031,NUM_VAR,WM,2022-12,9,A,F,,,P1M,,U,,,,1,"Expected unemployment rate in the next 12 months (%), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Expected unemployment rate in the next 12 months (%) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.C4031.NUM_VAR.WM,M,Z18,ALL,T,C4031,NUM_VAR,WM,2023-01,8.9,A,F,,,P1M,,U,,,,1,"Expected unemployment rate in the next 12 months (%), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Expected unemployment rate in the next 12 months (%) - Numeric variable - Weighted median",PN,0
