policy_variable,instrument,nobs,sample_start,sample_end,first_stage_f_stat,partial_r_squared,r_squared,hac_bandwidth,instrument_coefficient,instrument_std_error,instrument_t_stat,instrument_p_value,response,horizon,outcome
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,67,2005Q4,2022Q2,0.20642234843224008,0.004031180835631256,0.6055564301362018,1,-500.6739238927112,1192.2178039036096,-0.41995172547615345,0.6745207198171992,ln_ecb_assets_ea_stock,0,lp_ln_ecb_assets_ea_stock_h0
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,66,2005Q4,2022Q1,0.2198270046179789,0.004377295138785816,0.6129935301355123,2,-516.8103134738849,1118.8491190537998,-0.4619124282914452,0.6441441210631655,ln_ecb_assets_ea_stock,1,lp_ln_ecb_assets_ea_stock_h1
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,65,2005Q4,2021Q4,0.24337593841762192,0.004942308153729772,0.6283349801934597,3,-537.2257840454796,1071.7697305636277,-0.501251125801958,0.616194397142372,ln_ecb_assets_ea_stock,2,lp_ln_ecb_assets_ea_stock_h2
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,63,2005Q4,2021Q2,0.16606018788504126,0.0035207559678197393,0.6213134732178123,5,-444.3473987159879,928.2275774405294,-0.47870523297876993,0.632148342510897,ln_ecb_assets_ea_stock,4,lp_ln_ecb_assets_ea_stock_h4
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,59,2005Q4,2020Q2,0.04747973873658527,0.0011029621019569304,0.5425144333636956,9,230.8812472784497,583.9101444721837,0.39540543945704376,0.6925436953452028,ln_ecb_assets_ea_stock,8,lp_ln_ecb_assets_ea_stock_h8
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,55,2005Q4,2019Q2,0.015702461598562825,0.00040246517704039977,0.5078987735810823,13,154.95935613360086,1241.5831937695932,0.12480787184556354,0.9006756552938071,ln_ecb_assets_ea_stock,12,lp_ln_ecb_assets_ea_stock_h12
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,67,2005Q4,2022Q2,0.20642234843224008,0.004031180835631256,0.6055564301362018,1,-500.6739238927112,1192.2178039036096,-0.41995172547615345,0.6745207198171992,ln_hh_loans_ea_stock,0,lp_ln_hh_loans_ea_stock_h0
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,66,2005Q4,2022Q1,0.2198270046179789,0.004377295138785816,0.6129935301355123,2,-516.8103134738849,1118.8491190537998,-0.4619124282914452,0.6441441210631655,ln_hh_loans_ea_stock,1,lp_ln_hh_loans_ea_stock_h1
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,65,2005Q4,2021Q4,0.24337593841762192,0.004942308153729772,0.6283349801934597,3,-537.2257840454796,1071.7697305636277,-0.501251125801958,0.616194397142372,ln_hh_loans_ea_stock,2,lp_ln_hh_loans_ea_stock_h2
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,63,2005Q4,2021Q2,0.16606018788504126,0.0035207559678197393,0.6213134732178123,5,-444.3473987159879,928.2275774405294,-0.47870523297876993,0.632148342510897,ln_hh_loans_ea_stock,4,lp_ln_hh_loans_ea_stock_h4
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,59,2005Q4,2020Q2,0.04747973873658527,0.0011029621019569304,0.5425144333636956,9,230.8812472784497,583.9101444721837,0.39540543945704376,0.6925436953452028,ln_hh_loans_ea_stock,8,lp_ln_hh_loans_ea_stock_h8
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,55,2005Q4,2019Q2,0.015702461598562825,0.00040246517704039977,0.5078987735810823,13,154.95935613360086,1241.5831937695932,0.12480787184556354,0.9006756552938071,ln_hh_loans_ea_stock,12,lp_ln_hh_loans_ea_stock_h12
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,67,2005Q4,2022Q2,0.20642234843224008,0.004031180835631256,0.6055564301362018,1,-500.6739238927112,1192.2178039036096,-0.41995172547615345,0.6745207198171992,ln_nfc_loans_ea_stock,0,lp_ln_nfc_loans_ea_stock_h0
d_ecb_assets_ea_qavg,target_factor_market_magnitude_weighted_quarterly_sum,66,2005Q4,2022Q1,0.2198270046179789,0.004377295138785816,0.6129935301355123,2,-516.8103134738849,1118.8491190537998,-0.4619124282914452,0.6441441210631655,ln_nfc_loans_ea_stock,1,lp_ln_nfc_loans_ea_stock_h1
