response,response_label,channel,response_role,shock,horizon_months,coefficient_common_sample,ci_68_low,ci_68_high,ci_90_low,ci_90_high,ci_95_low,ci_95_high,bootstrap_replications,bootstrap_method,block_length,block_length_rule,nobs_common_horizon_sample,interpretation_layer
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,0,-0.0036442106840784963,-0.006691423215166549,-0.0007473483187285922,-0.00830874162161757,0.0012073024008200453,-0.008921263096804286,0.0016964659431289448,399,wild,0,manual_or_not_applicable,222,dependence_aware_reduced_form_uncertainty
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,1,-0.0017495066925765166,-0.00698501762059646,0.0030973131161743856,-0.00962856389119364,0.005952943594680476,-0.010699023254765813,0.007707388506173669,399,wild,0,manual_or_not_applicable,222,dependence_aware_reduced_form_uncertainty
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,3,-0.002553726694616318,-0.009712970634052454,0.0049521116799031125,-0.014635055863077595,0.009902345842535304,-0.0159848428792236,0.012215718651586884,399,wild,0,manual_or_not_applicable,222,dependence_aware_reduced_form_uncertainty
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,6,-0.0030022971331599177,-0.012511922092088457,0.005998590282049315,-0.017964371881759433,0.01246352842768536,-0.02020861166107932,0.015822453256227526,399,wild,0,manual_or_not_applicable,222,dependence_aware_reduced_form_uncertainty
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,12,-0.009994641292609708,-0.024715020163653886,0.005587957084458458,-0.033751228179867615,0.014543979725711626,-0.03923521363069779,0.018560635483739454,399,wild,0,manual_or_not_applicable,222,dependence_aware_reduced_form_uncertainty
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,24,-0.010601283414681577,-0.03122357981498245,0.013935801144195025,-0.04455334153690236,0.025856933468241448,-0.05033165772525088,0.03220510941868638,399,wild,0,manual_or_not_applicable,222,dependence_aware_reduced_form_uncertainty
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,0,-0.001386018023203325,-0.005660077889392946,0.0034475218159131975,-0.008935601189638445,0.005941692682309233,-0.010322598991239405,0.007517644020968524,399,wild,0,manual_or_not_applicable,222,dependence_aware_reduced_form_uncertainty
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,1,-0.001782342227836642,-0.006344298124162383,0.0029995958419617485,-0.009080668791562562,0.006537604848853666,-0.01065835109694707,0.008059989486888698,399,wild,0,manual_or_not_applicable,222,dependence_aware_reduced_form_uncertainty
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,3,-0.006023151603573212,-0.011392525368333854,-0.0011301522242043887,-0.013894628150522722,0.0017621550922475426,-0.015517891806901135,0.0030375129900546425,399,wild,0,manual_or_not_applicable,222,dependence_aware_reduced_form_uncertainty
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,6,-0.008574169577285249,-0.01586227474703021,-0.00196632741730082,-0.021010014552369602,0.0028674858058620905,-0.023199477285479036,0.004700415328282454,399,wild,0,manual_or_not_applicable,222,dependence_aware_reduced_form_uncertainty
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,12,-0.021427447199162626,-0.03203541277464217,-0.012972315477333154,-0.03588097273119921,-0.005992060507425046,-0.039433400279648124,-0.0037243316721386212,399,wild,0,manual_or_not_applicable,222,dependence_aware_reduced_form_uncertainty
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,24,-0.027203744605523585,-0.04483044670854827,-0.011183981535195448,-0.054807349242921834,-0.0010047813394768027,-0.059095760233327015,0.0015845837406906224,399,wild,0,manual_or_not_applicable,222,dependence_aware_reduced_form_uncertainty
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,0,0.006637698779927175,0.0001419781975918871,0.01343861794233593,-0.0032737055128162786,0.01694166689962199,-0.00542913152371284,0.02039169102675031,399,wild,0,manual_or_not_applicable,222,dependence_aware_reduced_form_uncertainty
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,1,0.021126057839729095,0.008584953785322548,0.032451797924115025,0.0024710117151416073,0.03874301721846857,0.0002928204626776415,0.04187934201732986,399,wild,0,manual_or_not_applicable,222,dependence_aware_reduced_form_uncertainty
