response,horizon,beta,F_stat,partial_R2,AR_stat,AR_p_value,AR_CI_lower,AR_CI_upper,AR_CI_bounded,AR_reject,weak_iv_flag,nobs,baseline_sign,directional_stability_score,supporting_sources,conflicting_sources,source_count,weak_iv_robust_status
ln_compensation_ea20_real,0,-4.875537545471965e-08,0.20642234843224008,0.004031180835631256,0.003632396161331095,0.9519411020614221,-inf,inf,False,False,weak_iv_risk,67,negative,0.6666666666666666,"ols,dax,lag_2,cumulative","lag_1,lag_4",6,directional_only
ln_compensation_ea20_real,1,5.325260881790391e-08,0.2198270046179789,0.004377295138785816,1.2387528259251699,0.2657115501187966,-inf,inf,False,False,weak_iv_risk,66,positive,1.0,"ols,dax,lag_1,lag_2,lag_4,cumulative",,6,directional_only
ln_compensation_ea20_real,2,1.0817762006350878e-09,0.24337593841762192,0.004942308153729772,1.3479988089802166,0.24562827259377834,-inf,inf,False,False,weak_iv_risk,65,positive,0.8333333333333334,"ols,lag_1,lag_2,lag_4,cumulative",dax,6,directional_only
ln_compensation_ea20_real,4,-1.849960496190279e-08,0.16606018788504126,0.0035207559678197393,5.605858009680741,0.017900527104431976,-inf,inf,False,True,weak_iv_risk,63,negative,0.6666666666666666,"ols,dax,lag_2,cumulative","lag_1,lag_4",6,directional_only
ln_compensation_ea20_real,8,-7.261267271452001e-08,0.04747973873658527,0.0011029621019569304,0.013750159663984329,0.9066531699821833,-inf,inf,False,False,weak_iv_risk,59,negative,1.0,"ols,dax,lag_1,lag_2,lag_4,cumulative",,6,directional_only
ln_compensation_ea20_real,12,-8.914587455662107e-08,0.015702461598562825,0.00040246517704039977,4.395342002563968,0.036037231130540616,-inf,inf,False,True,weak_iv_risk,55,negative,1.0,"ols,dax,lag_1,lag_2,lag_4,cumulative",,6,directional_only
ln_ecb_assets_ea_stock,0,3.707807936158248e-07,0.20642234843224008,0.004031180835631256,0.19344102814373054,0.6600679786076262,-inf,inf,False,False,weak_iv_risk,67,positive,1.0,"ols,dax,lag_1,lag_2,lag_4,cumulative",,6,directional_only
ln_ecb_assets_ea_stock,1,2.93752913537525e-07,0.2198270046179789,0.004377295138785816,0.5598504697382337,0.4543204968494889,-inf,inf,False,False,weak_iv_risk,66,positive,0.8333333333333334,"ols,dax,lag_2,lag_4,cumulative",lag_1,6,directional_only
ln_ecb_assets_ea_stock,2,5.161067643208291e-07,0.24337593841762192,0.004942308153729772,2.085612308265002,0.1486925908331109,-inf,inf,False,False,weak_iv_risk,65,positive,1.0,"ols,dax,lag_1,lag_2,lag_4,cumulative",,6,directional_only
ln_ecb_assets_ea_stock,4,5.309712497078276e-07,0.16606018788504126,0.0035207559678197393,0.8161701306884294,0.3663023145029606,-inf,inf,False,False,weak_iv_risk,63,positive,1.0,"ols,dax,lag_1,lag_2,lag_4,cumulative",,6,directional_only
ln_ecb_assets_ea_stock,8,3.7319867623170374e-07,0.04747973873658527,0.0011029621019569304,1.0551849291503568,0.30431596582063913,-inf,inf,False,False,weak_iv_risk,59,positive,0.8333333333333334,"ols,dax,lag_1,lag_2,cumulative",lag_4,6,directional_only
ln_ecb_assets_ea_stock,12,-1.9770654831203504e-07,0.015702461598562825,0.00040246517704039977,0.46466942252046767,0.4954497596567136,-inf,inf,False,False,weak_iv_risk,55,negative,0.8333333333333334,"ols,dax,lag_1,lag_2,lag_4",cumulative,6,directional_only
ln_hh_loans_ea_stock,0,1.0575135283962145e-08,0.20642234843224008,0.004031180835631256,1.2986343515811558,0.25446282572923323,-inf,inf,False,False,weak_iv_risk,67,positive,0.8333333333333334,"ols,dax,lag_1,lag_2,cumulative",lag_4,6,directional_only
ln_hh_loans_ea_stock,1,-6.7388204991927865e-09,0.2198270046179789,0.004377295138785816,1.4685413152757518,0.2255759823679511,-inf,inf,False,False,weak_iv_risk,66,negative,0.6666666666666666,"dax,lag_1,lag_2,lag_4","ols,cumulative",6,directional_only
ln_hh_loans_ea_stock,2,-3.5087840376486086e-09,0.24337593841762192,0.004942308153729772,0.9222139822053929,0.3368943235643203,-inf,inf,False,False,weak_iv_risk,65,negative,0.6666666666666666,"dax,lag_1,lag_2,lag_4","ols,cumulative",6,directional_only
ln_hh_loans_ea_stock,4,-8.39466766371723e-09,0.16606018788504126,0.0035207559678197393,2.8816303198480093,0.08959526811097322,-inf,inf,False,True,weak_iv_risk,63,negative,0.8333333333333334,"dax,lag_1,lag_2,lag_4,cumulative",ols,6,directional_only
ln_hh_loans_ea_stock,8,-5.301533986156462e-08,0.04747973873658527,0.0011029621019569304,0.03135702044254377,0.8594462299129925,-inf,inf,False,False,weak_iv_risk,59,negative,1.0,"ols,dax,lag_1,lag_2,lag_4,cumulative",,6,directional_only
ln_hh_loans_ea_stock,12,-1.137229114358912e-07,0.015702461598562825,0.00040246517704039977,2.7300938274021322,0.09847349949988755,-inf,inf,False,True,weak_iv_risk,55,negative,1.0,"ols,dax,lag_1,lag_2,lag_4,cumulative",,6,directional_only
ln_house_price_de_real,0,1.3833020128862633e-08,0.20642234843224008,0.004031180835631256,1.1983524592893884,0.27365121740171405,-inf,inf,False,False,weak_iv_risk,67,positive,0.8333333333333334,"ols,dax,lag_1,lag_2,cumulative",lag_4,6,directional_only
ln_house_price_de_real,1,4.672075330650515e-08,0.2198270046179789,0.004377295138785816,0.4109854217771887,0.5214697675089193,-inf,inf,False,False,weak_iv_risk,66,positive,0.8333333333333334,"ols,dax,lag_1,lag_2,cumulative",lag_4,6,directional_only
ln_house_price_de_real,2,6.075297384166653e-08,0.24337593841762192,0.004942308153729772,0.953624631782567,0.32879839139676853,-inf,inf,False,False,weak_iv_risk,65,positive,0.8333333333333334,"ols,dax,lag_1,lag_2,cumulative",lag_4,6,directional_only
ln_house_price_de_real,4,5.690934957571591e-08,0.16606018788504126,0.0035207559678197393,1.0105089784203325,0.3147809344176808,-inf,inf,False,False,weak_iv_risk,63,positive,1.0,"ols,dax,lag_1,lag_2,lag_4,cumulative",,6,directional_only
ln_house_price_de_real,8,1.3246480827893509e-08,0.04747973873658527,0.0011029621019569304,0.5018089721248159,0.47870635214550034,-inf,inf,False,False,weak_iv_risk,59,positive,0.6666666666666666,"dax,lag_1,lag_2,cumulative","ols,lag_4",6,directional_only
ln_house_price_de_real,12,6.871923788783967e-08,0.015702461598562825,0.00040246517704039977,14.493824739049671,0.00014061976030964673,-inf,inf,False,True,weak_iv_risk,55,positive,0.6666666666666666,"lag_1,lag_2,lag_4,cumulative","ols,dax",6,directional_only
ln_nfc_loans_ea_stock,0,7.129894912061861e-09,0.20642234843224008,0.004031180835631256,2.700671418159972,0.10030599674326639,-inf,inf,False,False,weak_iv_risk,67,positive,0.6666666666666666,"ols,dax,lag_2,cumulative","lag_1,lag_4",6,directional_only
ln_nfc_loans_ea_stock,1,-1.582234667563684e-08,0.2198270046179789,0.004377295138785816,8.063564170084534,0.004516425145480575,-inf,inf,False,True,weak_iv_risk,66,negative,1.0,"ols,dax,lag_1,lag_2,lag_4,cumulative",,6,directional_only
ln_nfc_loans_ea_stock,2,-1.1292064845916677e-08,0.24337593841762192,0.004942308153729772,3.815927759660151,0.05076748261982982,-inf,inf,False,True,weak_iv_risk,65,negative,1.0,"ols,dax,lag_1,lag_2,lag_4,cumulative",,6,directional_only
ln_nfc_loans_ea_stock,4,-4.6838280137808894e-08,0.16606018788504126,0.0035207559678197393,1.1594995955286522,0.28156934408407147,-inf,inf,False,False,weak_iv_risk,63,negative,1.0,"ols,dax,lag_1,lag_2,lag_4,cumulative",,6,directional_only
ln_nfc_loans_ea_stock,8,-1.335722844986595e-07,0.04747973873658527,0.0011029621019569304,3.3534026708851967,0.0670662468767417,-inf,inf,False,True,weak_iv_risk,59,negative,1.0,"ols,dax,lag_1,lag_2,lag_4,cumulative",,6,directional_only
ln_nfc_loans_ea_stock,12,-2.410189646797626e-07,0.015702461598562825,0.00040246517704039977,6.450152327184724,0.01109428298942225,-inf,inf,False,True,weak_iv_risk,55,negative,1.0,"ols,dax,lag_1,lag_2,lag_4,cumulative",,6,directional_only
