file,check_type,language_rule,match_count,status,example
README.md,forbidden_phrase,forbidden QE inequality claim,0,pass,
README.md,forbidden_phrase,forbidden ECB housing claim,0,pass,
README.md,forbidden_phrase,forbidden redistribution claim,0,pass,
README.md,forbidden_phrase,forbidden bank mediation claim,0,pass,
README.md,forbidden_phrase,forbidden affordability claim,0,pass,
README.md,forbidden_phrase,forbidden mechanical bank redistribution claim,0,pass,
README.md,forbidden_phrase,inequality causality claim,0,pass,
README.md,forbidden_phrase,welfare identification claim,0,pass,
README.md,forbidden_phrase,proof language,0,pass,
README.md,forbidden_phrase,strong causal effect language,0,pass,
README.md,preferred_phrase_presence,persistent transmission,0,not_observed,
README.md,preferred_phrase_presence,persistent reduced-form transmission,0,not_observed,
README.md,preferred_phrase_presence,financial-channel dominance,0,not_observed,
README.md,preferred_phrase_presence,timing-consistent propagation,1,observed,timing-consistent propagation
README.md,preferred_phrase_presence,reduced-form response,2,observed,reduced-form response
README.md,preferred_phrase_presence,differential transmission persistence,0,not_observed,
README.md,preferred_phrase_presence,housing-finance-related responses,0,not_observed,
README.md,preferred_phrase_presence,suggestive distributional implications,0,not_observed,
README.md,preferred_phrase_presence,dynamic transmission asymmetry,0,not_observed,
docs/final_causality_framework.md,forbidden_phrase,forbidden QE inequality claim,0,pass,
docs/final_causality_framework.md,forbidden_phrase,forbidden ECB housing claim,0,pass,
docs/final_causality_framework.md,forbidden_phrase,forbidden redistribution claim,0,pass,
docs/final_causality_framework.md,forbidden_phrase,forbidden bank mediation claim,0,pass,
docs/final_causality_framework.md,forbidden_phrase,forbidden affordability claim,0,pass,
docs/final_causality_framework.md,forbidden_phrase,forbidden mechanical bank redistribution claim,0,pass,
docs/final_causality_framework.md,forbidden_phrase,inequality causality claim,0,pass,
docs/final_causality_framework.md,forbidden_phrase,welfare identification claim,0,pass,
docs/final_causality_framework.md,forbidden_phrase,proof language,0,pass,
docs/final_causality_framework.md,forbidden_phrase,strong causal effect language,0,pass,
docs/final_causality_framework.md,preferred_phrase_presence,persistent transmission,0,not_observed,
docs/final_causality_framework.md,preferred_phrase_presence,persistent reduced-form transmission,0,not_observed,
docs/final_causality_framework.md,preferred_phrase_presence,financial-channel dominance,1,observed,financial-channel dominance
docs/final_causality_framework.md,preferred_phrase_presence,timing-consistent propagation,3,observed,timing-consistent propagation
docs/final_causality_framework.md,preferred_phrase_presence,reduced-form response,3,observed,reduced-form response
docs/final_causality_framework.md,preferred_phrase_presence,differential transmission persistence,0,not_observed,
docs/final_causality_framework.md,preferred_phrase_presence,housing-finance-related responses,0,not_observed,
docs/final_causality_framework.md,preferred_phrase_presence,suggestive distributional implications,0,not_observed,
docs/final_causality_framework.md,preferred_phrase_presence,dynamic transmission asymmetry,0,not_observed,
docs/final_claims_boundary.md,forbidden_phrase,forbidden QE inequality claim,0,pass,
docs/final_claims_boundary.md,forbidden_phrase,forbidden ECB housing claim,0,pass,
docs/final_claims_boundary.md,forbidden_phrase,forbidden redistribution claim,0,pass,
docs/final_claims_boundary.md,forbidden_phrase,forbidden bank mediation claim,0,pass,
docs/final_claims_boundary.md,forbidden_phrase,forbidden affordability claim,0,pass,
docs/final_claims_boundary.md,forbidden_phrase,forbidden mechanical bank redistribution claim,0,pass,
docs/final_claims_boundary.md,forbidden_phrase,inequality causality claim,0,pass,
docs/final_claims_boundary.md,forbidden_phrase,welfare identification claim,0,pass,
docs/final_claims_boundary.md,forbidden_phrase,proof language,0,pass,
docs/final_claims_boundary.md,forbidden_phrase,strong causal effect language,0,pass,
docs/final_claims_boundary.md,preferred_phrase_presence,persistent transmission,0,not_observed,
docs/final_claims_boundary.md,preferred_phrase_presence,persistent reduced-form transmission,0,not_observed,
docs/final_claims_boundary.md,preferred_phrase_presence,financial-channel dominance,0,not_observed,
docs/final_claims_boundary.md,preferred_phrase_presence,timing-consistent propagation,1,observed,timing-consistent propagation
docs/final_claims_boundary.md,preferred_phrase_presence,reduced-form response,0,not_observed,
docs/final_claims_boundary.md,preferred_phrase_presence,differential transmission persistence,0,not_observed,
docs/final_claims_boundary.md,preferred_phrase_presence,housing-finance-related responses,0,not_observed,
docs/final_claims_boundary.md,preferred_phrase_presence,suggestive distributional implications,0,not_observed,
docs/final_claims_boundary.md,preferred_phrase_presence,dynamic transmission asymmetry,0,not_observed,
docs/final_delivery_report.md,forbidden_phrase,forbidden QE inequality claim,0,pass,
docs/final_delivery_report.md,forbidden_phrase,forbidden ECB housing claim,0,pass,
docs/final_delivery_report.md,forbidden_phrase,forbidden redistribution claim,0,pass,
docs/final_delivery_report.md,forbidden_phrase,forbidden bank mediation claim,0,pass,
docs/final_delivery_report.md,forbidden_phrase,forbidden affordability claim,0,pass,
docs/final_delivery_report.md,forbidden_phrase,forbidden mechanical bank redistribution claim,0,pass,
docs/final_delivery_report.md,forbidden_phrase,inequality causality claim,0,pass,
docs/final_delivery_report.md,forbidden_phrase,welfare identification claim,0,pass,
docs/final_delivery_report.md,forbidden_phrase,proof language,0,pass,
docs/final_delivery_report.md,forbidden_phrase,strong causal effect language,0,pass,
docs/final_delivery_report.md,preferred_phrase_presence,persistent transmission,0,not_observed,
docs/final_delivery_report.md,preferred_phrase_presence,persistent reduced-form transmission,0,not_observed,
docs/final_delivery_report.md,preferred_phrase_presence,financial-channel dominance,0,not_observed,
docs/final_delivery_report.md,preferred_phrase_presence,timing-consistent propagation,0,not_observed,
docs/final_delivery_report.md,preferred_phrase_presence,reduced-form response,0,not_observed,
docs/final_delivery_report.md,preferred_phrase_presence,differential transmission persistence,0,not_observed,
