response,response_label,shock,horizon_months,controls,nobs,sample_start,sample_end,coefficient,std_error_hac,t_stat,p_value,ci_90_low,ci_90_high,ci_68_low,ci_68_high,r_squared,hac_bandwidth,interpretation_layer
ln_ecb_assets_ea_stock,ECB assets,target_factor_monthly_easing,0,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",246,2005-04,2025-10,-0.0014653835154052287,0.001140244485745514,-1.2851485218515506,0.19874038849208864,-0.0033409187933951534,0.0004101517625846962,-0.002599308633041306,-0.00033145839776915135,0.057663293928432946,1,reduced_form_dynamic_transmission
ln_ecb_assets_ea_stock,ECB assets,target_factor_monthly_easing,1,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",245,2005-04,2025-09,-0.0007837645969639527,0.0017771074377843522,-0.44103388478365074,0.6591884662602657,-0.003706846211485982,0.0021393170175580765,-0.0025510230977792876,0.000983493903851382,0.06560978875686174,2,reduced_form_dynamic_transmission
ln_ecb_assets_ea_stock,ECB assets,target_factor_monthly_easing,3,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",243,2005-04,2025-07,-0.0012262802382570583,0.0024864205555888007,-0.4931909992059518,0.6218776370721086,-0.005316078107243992,0.0028635176307298753,-0.0036989207607371153,0.0012463602842229986,0.14893491505520695,4,reduced_form_dynamic_transmission
ln_ecb_assets_ea_stock,ECB assets,target_factor_monthly_easing,6,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",240,2005-04,2025-04,-0.0013781437714318135,0.0029289068340514124,-0.4705317886555972,0.6379751283089888,-0.006195766800424233,0.003439479257560606,-0.00429081826174116,0.0015345307188775336,0.19397348731573127,7,reduced_form_dynamic_transmission
ln_ecb_assets_ea_stock,ECB assets,target_factor_monthly_easing,12,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",234,2005-04,2024-10,-0.00395995402603359,0.00476725662310567,-0.8306567779130474,0.4061675498926416,-0.011801393373157379,0.0038814853210901983,-0.008700789956164929,0.0007808819040977496,0.2278643608608002,13,reduced_form_dynamic_transmission
ln_ecb_assets_ea_stock,ECB assets,target_factor_monthly_easing,24,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",222,2005-04,2023-10,-0.004163270512417657,0.005836514598970908,-0.7133145033427525,0.4756511648135917,-0.013763482719290171,0.005436941694454857,-0.009967438465833086,0.0016408974409977727,0.2990065477731757,25,reduced_form_dynamic_transmission
ln_ecb_assets_ea_stock,ECB assets,timing_factor_monthly_easing,0,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",244,2005-04,2025-10,0.0029235597265301993,0.002219152878699428,1.3174215055627896,0.18769737623338045,-0.0007266219347583556,0.006573741387818754,0.0007167056522599364,0.005130413800800463,0.07609737736700395,1,reduced_form_dynamic_transmission
ln_ecb_assets_ea_stock,ECB assets,timing_factor_monthly_easing,1,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",243,2005-04,2025-09,0.004634241711316187,0.0025565740908882143,1.8126764750659512,0.06988173492508333,0.0004290515453485456,0.008839431877283829,0.002091836452622595,0.007176646970009779,0.09489807709644449,2,reduced_form_dynamic_transmission
ln_ecb_assets_ea_stock,ECB assets,timing_factor_monthly_easing,3,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",241,2005-04,2025-07,0.0037556072137017015,0.0037727191035964425,0.9954643085199668,0.3195104948951215,-0.0024499634873180135,0.009961177914721417,3.796959994186496e-06,0.007507417467409216,0.15714140404394916,4,reduced_form_dynamic_transmission
ln_ecb_assets_ea_stock,ECB assets,timing_factor_monthly_easing,6,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",238,2005-04,2025-04,0.0005937497635441237,0.005206726190507495,0.11403514258664166,0.9092099353845302,-0.007970552695455352,0.009158052222543598,-0.004584120142320741,0.005771619669408989,0.19456675835650494,7,reduced_form_dynamic_transmission
