response,horizon,beta,HAC_se,t_stat,p_value,CI_low,CI_high,F_stat,partial_R2,weak_iv_flag,nobs,sample_start,sample_end,hac_bandwidth
ln_compensation_ea20_real,0,-4.8755378922384294e-08,2.582057925418986e-08,-1.8882372251378847,0.058994110479933574,-9.122645235862642e-08,-6.284305486142179e-09,0.20642234843362534,0.0040311808356581985,weak_iv_risk,67,2005Q4,2022Q2,1
ln_compensation_ea20_real,1,5.325260872094897e-08,1.6458460425876038e-08,3.235576557162362,0.0012139732615882221,2.6180850395409508e-08,8.032436704648843e-08,0.21982700461757448,0.004377295138777798,weak_iv_risk,66,2005Q4,2022Q1,2
ln_compensation_ea20_real,2,1.0817813225740875e-09,9.134013156370628e-09,0.11843439505225432,0.9057234742387443,-1.39423333463046e-08,1.6105895991452775e-08,0.24337593841520527,0.00494230815368094,weak_iv_risk,65,2005Q4,2021Q4,3
ln_compensation_ea20_real,4,-1.849962648108764e-08,1.6916543398623692e-08,-1.093581947869607,0.2741383701195004,-4.632486424579579e-08,9.325611283620514e-09,0.16606018789285695,0.0035207559679848615,weak_iv_risk,63,2005Q4,2021Q2,5
ln_compensation_ea20_real,8,-7.261266498064533e-08,1.8336343190939616e-08,-3.9600406812043536,7.49369965629543e-05,-1.0277326558328928e-07,-4.2452064378001386e-08,0.04747973874010471,0.0011029621020385973,weak_iv_risk,59,2005Q4,2020Q2,9
ln_compensation_ea20_real,12,-8.914583196576224e-08,2.8403968182697877e-08,-3.1384992192768664,0.001698153874637896,-1.3586620205088704e-07,-4.2425461880637433e-08,0.015702461606945408,0.0004024651772551648,weak_iv_risk,55,2005Q4,2019Q2,13
ln_ecb_assets_ea_stock,0,3.7078078200004777e-07,9.981843482503575e-08,3.7145521531164216,0.00020356388556614356,2.0659406744146863e-07,5.349674965586269e-07,0.20642234843362534,0.0040311808356581985,weak_iv_risk,67,2005Q4,2022Q2,1
ln_ecb_assets_ea_stock,1,2.937529343633726e-07,1.7410657101250275e-07,1.6872018824739126,0.09156453956587512,7.373109557373508e-09,5.801327591693716e-07,0.21982700461757448,0.004377295138777798,weak_iv_risk,66,2005Q4,2022Q1,2
ln_ecb_assets_ea_stock,2,5.161067298844133e-07,2.460353670751496e-07,2.09769325450992,0.0359322511469287,1.1141456399251689e-07,9.207988957763098e-07,0.24337593841520527,0.00494230815368094,weak_iv_risk,65,2005Q4,2021Q4,3
ln_ecb_assets_ea_stock,4,5.309712163357497e-07,2.8226323052484354e-07,1.8811207373643946,0.059955496672757486,6.668951785192156e-08,9.95252914819578e-07,0.16606018789285695,0.0035207559679848615,weak_iv_risk,63,2005Q4,2021Q2,5
ln_ecb_assets_ea_stock,8,3.731987459706466e-07,3.2154546248266766e-07,1.1606406854233349,0.24578805258572609,-1.556964742237576e-07,9.020939661650508e-07,0.04747973874010471,0.0011029621020385973,weak_iv_risk,59,2005Q4,2020Q2,9
ln_ecb_assets_ea_stock,12,-1.977062277607772e-07,2.99374555089753e-07,-0.660397566859029,0.5089987331894399,-6.901335505171405e-07,2.947210949955861e-07,0.015702461606945408,0.0004024651772551648,weak_iv_risk,55,2005Q4,2019Q2,13
ln_hh_loans_ea_stock,0,1.0575137255283765e-08,5.565499282503615e-09,1.900123729874346,0.05741688426744508,1.4207055746618816e-09,1.972956893590565e-08,0.20642234843362534,0.0040311808356581985,weak_iv_risk,67,2005Q4,2022Q2,1
ln_hh_loans_ea_stock,1,-6.738819222877943e-09,7.273745674300459e-09,-0.9264579110440287,0.3542080604728218,-1.8703066176773632e-08,5.225427731017744e-09,0.21982700461757448,0.004377295138777798,weak_iv_risk,66,2005Q4,2022Q1,2
ln_hh_loans_ea_stock,2,-3.5087833181991706e-09,7.754322039333296e-09,-0.4524938866868173,0.6509132243061881,-1.6263508049146276e-08,9.245941412747934e-09,0.24337593841520527,0.00494230815368094,weak_iv_risk,65,2005Q4,2021Q4,3
ln_hh_loans_ea_stock,4,-8.394665601839351e-09,9.713153433805836e-09,-0.8642574895010311,0.38744645723595694,-2.437138125657102e-08,7.582050052892318e-09,0.16606018789285695,0.0035207559679848615,weak_iv_risk,63,2005Q4,2021Q2,5
ln_hh_loans_ea_stock,8,-5.3015346710466004e-08,3.6638651184324414e-08,-1.446978668612895,0.14790289806154155,-1.1328056499761185e-07,7.249871576679834e-09,0.04747973874010471,0.0011029621020385973,weak_iv_risk,59,2005Q4,2020Q2,9
ln_hh_loans_ea_stock,12,-1.1372289300166339e-07,5.7897897076687e-08,-1.9641972980648157,0.04950721604227298,-2.08956459001115e-07,-1.8489327002211784e-08,0.015702461606945408,0.0004024651772551648,weak_iv_risk,55,2005Q4,2019Q2,13
ln_house_price_de_real,0,1.3833017289775451e-08,1.8511205105496635e-08,0.7472780519118086,0.4548957381267847,-1.6615205567243287e-08,4.428124014679419e-08,0.20642234843362534,0.0040311808356581985,weak_iv_risk,67,2005Q4,2022Q2,1
ln_house_price_de_real,1,4.672075420134355e-08,1.8702381999359392e-08,2.4981178441839047,0.012485468077137926,1.5958073337065343e-08,7.748343506562176e-08,0.21982700461757448,0.004377295138777798,weak_iv_risk,66,2005Q4,2022Q1,2
ln_house_price_de_real,2,6.07529760823997e-08,2.2516973579314877e-08,2.6980968764918822,0.00697371431594915,2.371585042249317e-08,9.779010174230624e-08,0.24337593841520527,0.00494230815368094,weak_iv_risk,65,2005Q4,2021Q4,3
ln_house_price_de_real,4,5.690934820462619e-08,2.2821720099147944e-08,2.4936485049061186,0.012643768154149268,1.9370959126271396e-08,9.444773728298097e-08,0.16606018789285695,0.0035207559679848615,weak_iv_risk,63,2005Q4,2021Q2,5
ln_house_price_de_real,8,1.3246495266001344e-08,5.004565660700074e-08,0.26468821000838527,0.7912496607078945,-6.90712845171917e-08,9.556427504919439e-08,0.04747973874010471,0.0011029621020385973,weak_iv_risk,59,2005Q4,2020Q2,9
ln_house_price_de_real,12,6.871932936282943e-08,2.8103508573101708e-08,2.4452224242421368,0.014476283351821767,2.2493171356301312e-08,1.1494548736935755e-07,0.015702461606945408,0.0004024651772551648,weak_iv_risk,55,2005Q4,2019Q2,13
ln_nfc_loans_ea_stock,0,7.129894900191862e-09,1.8936393725223976e-08,0.3765180954541824,0.7065317653402101,-2.401770100012388e-08,3.82774908005076e-08,0.20642234843362534,0.0040311808356581985,weak_iv_risk,67,2005Q4,2022Q2,1
ln_nfc_loans_ea_stock,1,-1.5822346512696376e-08,2.1753618172164672e-08,-0.7273432119417363,0.46701573302658617,-5.160386426249888e-08,1.9959171237106126e-08,0.21982700461757448,0.004377295138777798,weak_iv_risk,66,2005Q4,2022Q1,2
ln_nfc_loans_ea_stock,2,-1.1292066153824959e-08,2.110618990841519e-08,-0.5350120605767283,0.5926415175205699,-4.600865917580823e-08,2.342452686815831e-08,0.24337593841520527,0.00494230815368094,weak_iv_risk,65,2005Q4,2021Q4,3
ln_nfc_loans_ea_stock,4,-4.683826915168857e-08,2.5943350721405903e-08,-1.8054055412758319,0.07101124468340808,-8.951128368106715e-08,-4.1652546223099905e-09,0.16606018789285695,0.0035207559679848615,weak_iv_risk,63,2005Q4,2021Q2,5
ln_nfc_loans_ea_stock,8,-1.3357231425341767e-07,6.799588387804267e-08,-1.9644176475886805,0.049481677934484346,-2.4541559046798727e-07,-2.1729038038848095e-08,0.04747973874010471,0.0011029621020385973,weak_iv_risk,59,2005Q4,2020Q2,9
ln_nfc_loans_ea_stock,12,-2.41018940369883e-07,7.674941862922728e-08,-3.1403357142577697,0.0016875432798647556,-3.672604999685843e-07,-1.147773807711817e-07,0.015702461606945408,0.0004024651772551648,weak_iv_risk,55,2005Q4,2019Q2,13
