candidate_id,side,variable,label,decision,h6_response_1sd,h6_se_1sd,h6_p_value,horizon_sign_stability,majority_response_sign,subperiod_sign_stability,regime_sign_stability,h6_clean_event_coef,h6_contaminated_event_coef,information_effect_susceptibility,information_effect_flag
comp_wage_tracker_ex_oneoffs,compensation,ecb_wage_tracker_ex_oneoffs_real_yoy,"ECB Wage Tracker excluding one-off payments, real",accepted_canonical,-0.08980530814423399,0.06210613698704443,0.14817795122347505,1.0,negative,0.5,1.0,-0.02614305701428475,-0.042262656238202474,0.2973547024651851,stable_to_info_screen
comp_wage_tracker_ex_oneoffs_momentum,compensation,ecb_wage_tracker_ex_oneoffs_real_yoy_momentum_3m,"ECB Wage Tracker excluding one-offs, real 3-month momentum",accepted_diagnostic,-0.01044610654186199,0.07078192234182287,0.8826730084597858,0.6,positive,0.5,0.5,-0.035305494414504424,0.011200292210662413,7.157735652986235,sensitive_to_info_screen
comp_ces_real_income_expectations,compensation,ecb_ces_real_income_expectations_12m_median,ECB CES real household income expectations,accepted_diagnostic_short_sample,,,,,,1.0,1.0,,,,not_enough_clean_event_variation
comp_ces_unemployment_expectations,compensation,ecb_ces_unemployment_expectations_12m_median,ECB CES expected unemployment rate,accepted_diagnostic_short_sample,,,,,,1.0,1.0,,,,not_enough_clean_event_variation
comp_employment_expectations,compensation,eurostat_ecfin_eei_ea20,European Commission employment expectations indicator,accepted_indirect,0.3308007540197918,0.32153904003479505,0.30357163546394134,1.0,positive,1.0,0.6666666666666666,0.24767880696756647,0.045991340733060514,0.8071913437421608,stable_to_info_screen
comp_services_employment_expectations,compensation,eurostat_ecfin_services_employment_expectations_ea20,European Commission services employment expectations,accepted_indirect,0.2573526351315633,0.23527384580950136,0.2740238678955226,1.0,positive,1.0,0.6666666666666666,0.15162697385071766,0.06977638496741274,0.42209833967826726,stable_to_info_screen
comp_unemployment_tightness,compensation,eurostat_labor_tightness_unemployment_inv,Eurostat unemployment inverse labor-tightness proxy,accepted_indirect,0.04951033788578565,0.03369449207245018,0.14172713320107147,0.8,positive,1.0,0.6666666666666666,0.04425325211519928,0.0010883682949762719,1.1574020306181019,sensitive_to_info_screen
comp_sts_industry_wage_bill_de_real,compensation,eurostat_sts_industry_wage_bill_de_real_yoy,"Eurostat German industry wage bill, real annual growth",accepted_robustness,0.38839576512630486,0.11395419933652742,0.0006535707005570016,1.0,positive,1.0,1.0,0.2974543452492178,0.04239532160845205,0.8485347239355672,stable_to_info_screen
comp_wage_tracker_headline,compensation,ecb_wage_tracker_headline_real_yoy,"ECB Wage Tracker headline, real",accepted_robustness,-0.07434689378326097,0.06442146736914904,0.24847140196137646,0.8,negative,0.5,1.0,-0.012773257450333052,-0.03950875289180269,0.5853128111555567,stable_to_info_screen
comp_wage_tracker_ex_oneoffs_ma3,compensation,ecb_wage_tracker_ex_oneoffs_real_yoy_ma3,"ECB Wage Tracker excluding one-offs, real 3-month average",accepted_robustness,-0.009195754955541214,0.06787523820721145,0.8922321701764157,0.6,negative,1.0,0.5,-0.034236905407508275,0.011863334907290003,7.986465151227307,sensitive_to_info_screen
comp_wage_tracker_unsmoothed,compensation,ecb_wage_tracker_unsmoothed_oneoffs_real_yoy,"ECB Wage Tracker with unsmoothed one-off payments, real",accepted_robustness,-0.01090359240604687,0.11030304422710768,0.921256386146913,0.6,negative,0.5,1.0,0.022289595349395955,-0.01848845348933663,5.93417282625934,sensitive_to_info_screen
comp_retail_volume,compensation,ln_retail_de_chained_index,German retail volume,rejected,-6.678747553683088e-05,0.0013332959208439547,0.960049065087585,0.6,negative,1.0,1.0,-2.7185782948921464e-05,-1.1481654997739707e-05,0.01750895991838458,stable_to_info_screen
comp_compensation_per_employee_quarterly_observed,compensation,ln_compensation_ea20_real_q_observed,"Euro area real compensation per employee, quarter-end observed",rejected_nonmonthly,,,,,,,,,,,not_enough_clean_event_variation
comp_wage_tracker_coverage,compensation,ecb_wage_tracker_coverage_pct,ECB Wage Tracker coverage,rejected_not_compensation,-0.0008555847871024103,0.031694373953235204,0.9784638437447433,1.0,negative,1.0,0.5,0.009790272632893332,-0.005443840121355105,28.61935380582545,sensitive_to_info_screen
housing_house_purchase_growth,housing,ecb_house_purchase_growth_yoy,"ECB lending for house purchase, annual growth",accepted_canonical,0.14640435018151443,0.043186743120769436,0.0006988500258364318,1.0,positive,1.0,0.6666666666666666,0.053908817705534275,0.06727778914094758,0.11123364150691446,stable_to_info_screen
housing_house_purchase_new_loans,housing,ln_ecb_house_purchase_pure_new_loans,ECB pure new loans for house purchase,accepted_robustness,0.016403767398858515,0.010759643261567498,0.12736782137765681,0.6,positive,1.0,0.5,-0.0003672781635583994,0.008945216859541479,1.054042233199925,sensitive_to_info_screen
housing_household_loans_stock,housing,ln_hh_loans_ea_stock,ECB adjusted loans to households,rejected_for_canonical,1.5459044012071577e-05,0.00042585981837371927,0.9710425271876053,0.8,positive,1.0,0.6666666666666666,8.759672834943624e-05,-5.356881313646215e-05,12.676879915977235,sensitive_to_info_screen
housing_house_price_quarterly_observed,housing,ln_house_price_de_real_q_observed,"German real house-price index, quarter-end observed",rejected_nonmonthly,,,,,,,,,,,not_enough_clean_event_variation
